X1,educ92,occly2d_03,female,incp_wag,age,marstat,empl,wbhao,perhh,Education,Sex,Occupation,Age,Earnings,MaritalStatus,Race,agesq,FamilySize,FamilyMakeup
129383,9,40,1,27000,26,5,1,1,3,Less than HS,F,40,26,27000,Never Married,White,676,3,"Single, two children"
110744,9,5,0,56000,40,1,1,1,5,Less than HS,M,5,40,56000,Married,White,1600,5,"Married, > three children"
101481,13,22,1,45000,47,1,1,1,4,Some College/Associates,F,22,47,45000,Married,White,2209,4,"Married, three children"
83929,13,39,1,145000,58,3,1,1,2,Some College/Associates,F,39,58,145000,Divorced,White,3364,2,"Single, one child"
73955,9,41,0,60002,57,1,1,1,3,Less than HS,M,41,57,60002,Married,White,3249,3,"Married, two children"
31999,13,3,0,68000,59,3,1,2,1,Some College/Associates,M,3,59,68000,Divorced,Black,3481,1,Single
175071,14,1,0,50000,46,1,1,1,3,Bachelors,M,1,46,50000,Married,White,2116,3,"Married, two children"
151101,9,46,0,41000,47,1,1,3,4,Less than HS,M,46,47,41000,Married,Hispanic,2209,4,"Married, three children"
136950,9,41,0,60002,55,5,1,1,4,Less than HS,M,41,55,60002,Never Married,White,3025,4,"Single, three children"
120292,10,40,1,23000,32,5,1,1,2,Less than HS,F,40,32,23000,Never Married,White,1024,2,"Single, one child"
82173,12,52,0,41000,31,1,NA,1,5,HS Graduate,M,52,31,41000,Married,White,961,5,"Married, > three children"
140202,13,38,0,170000,43,1,1,1,6,Some College/Associates,M,38,43,170000,Married,White,1849,6,"Married, > three children"
125416,14,21,1,48000,34,1,1,3,3,Bachelors,F,21,34,48000,Married,Hispanic,1156,3,"Married, two children"
104027,9,35,1,20000,53,3,1,1,1,Less than HS,F,35,53,20000,Divorced,White,2809,1,Single
14760,12,5,0,48000,28,5,1,1,3,HS Graduate,M,5,28,48000,Never Married,White,784,3,"Single, two children"
26760,9,49,1,38000,53,1,1,1,2,Less than HS,F,49,53,38000,Married,White,2809,2,"Married, No Kids"
132860,9,49,0,62000,31,1,1,1,2,Less than HS,M,49,31,62000,Married,White,961,2,"Married, No Kids"
24222,12,25,1,75000,48,5,1,1,1,HS Graduate,F,25,48,75000,Never Married,White,2304,1,Single
92339,10,8,1,66500,30,4,1,1,4,Less than HS,F,8,30,66500,Separated,White,900,4,"Single, three children"
124809,10,7,1,40000,38,1,1,2,4,Less than HS,F,7,38,40000,Married,Black,1444,4,"Married, three children"
89012,9,22,1,21000,52,1,1,1,2,Less than HS,F,22,52,21000,Married,White,2704,2,"Married, No Kids"
41701,9,40,1,40000,67,1,1,1,2,Less than HS,F,40,67,40000,Married,White,4489,2,"Married, No Kids"
42475,11,5,0,100000,73,3,1,1,1,Less than HS,M,5,73,100000,Divorced,White,5329,1,Single
139614,13,8,0,100000,37,1,1,3,4,Some College/Associates,M,8,37,100000,Married,Hispanic,1369,4,"Married, three children"
29238,9,34,0,21000,55,1,1,1,2,Less than HS,M,34,55,21000,Married,White,3025,2,"Married, No Kids"
1700,13,8,1,69000,55,1,1,1,4,Some College/Associates,F,8,55,69000,Married,White,3025,4,"Married, three children"
19793,9,9,0,115000,58,1,1,1,3,Less than HS,M,9,58,115000,Married,White,3364,3,"Married, two children"
161510,9,46,0,50000,47,1,1,3,4,Less than HS,M,46,47,50000,Married,Hispanic,2209,4,"Married, three children"
104602,10,31,1,26000,29,5,1,2,1,Less than HS,F,31,29,26000,Never Married,Black,841,1,Single
128862,10,44,0,40000,21,5,1,5,4,Less than HS,M,44,21,40000,Never Married,Other,441,4,"Single, three children"
88600,9,3,1,42000,56,1,1,3,6,Less than HS,F,3,56,42000,Married,Hispanic,3136,6,"Married, > three children"
24915,10,1,1,30000,37,5,1,1,1,Less than HS,F,1,37,30000,Never Married,White,1369,1,Single
176327,10,21,1,50000,59,1,1,1,2,Less than HS,F,21,59,50000,Married,White,3481,2,"Married, No Kids"
81461,10,39,1,70000,64,1,1,1,2,Less than HS,F,39,64,70000,Married,White,4096,2,"Married, No Kids"
153881,13,23,1,30000,58,1,1,4,2,Some College/Associates,F,23,58,30000,Married,Asian,3364,2,"Married, No Kids"
122222,13,25,1,40320,32,1,1,1,4,Some College/Associates,F,25,32,40320,Married,White,1024,4,"Married, three children"
146136,9,38,1,30000,42,1,1,3,4,Less than HS,F,38,42,30000,Married,Hispanic,1764,4,"Married, three children"
128217,11,25,1,90000,56,1,1,4,2,Less than HS,F,25,56,90000,Married,Asian,3136,2,"Married, No Kids"
130851,14,25,1,159000,44,1,1,1,4,Bachelors,F,25,44,159000,Married,White,1936,4,"Married, three children"
26814,13,12,0,120000,41,1,1,4,5,Some College/Associates,M,12,41,120000,Married,Asian,1681,5,"Married, > three children"
86704,13,38,0,115200,48,1,1,3,2,Some College/Associates,M,38,48,115200,Married,Hispanic,2304,2,"Married, No Kids"
34594,13,38,0,42000,29,1,1,2,2,Some College/Associates,M,38,29,42000,Married,Black,841,2,"Married, No Kids"
56879,9,40,1,30000,45,1,1,1,2,Less than HS,F,40,45,30000,Married,White,2025,2,"Married, No Kids"
25682,6,33,1,27000,57,1,1,1,2,Less than HS,F,33,57,27000,Married,White,3249,2,"Married, No Kids"
163906,13,49,0,46000,26,5,1,4,6,Some College/Associates,M,49,26,46000,Never Married,Asian,676,6,"Single, > three children"
1697,13,8,0,75000,35,1,1,1,3,Some College/Associates,M,8,35,75000,Married,White,1225,3,"Married, two children"
142753,16,20,1,90000,41,1,1,4,5,PhD/MD/JD,F,20,41,90000,Married,Asian,1681,5,"Married, > three children"
35921,16,3,0,200000,67,1,1,1,2,PhD/MD/JD,M,3,67,200000,Married,White,4489,2,"Married, No Kids"
145901,7,43,0,75000,50,1,1,1,5,Less than HS,M,43,50,75000,Married,White,2500,5,"Married, > three children"
29670,13,3,0,60000,47,1,1,1,4,Some College/Associates,M,3,47,60000,Married,White,2209,4,"Married, three children"
29361,11,29,0,80000,38,1,1,1,4,Less than HS,M,29,38,80000,Married,White,1444,4,"Married, three children"
68656,9,39,1,30000,61,1,1,1,3,Less than HS,F,39,61,30000,Married,White,3721,3,"Married, two children"
129150,12,44,1,56000,40,5,1,1,3,HS Graduate,F,44,40,56000,Never Married,White,1600,3,"Single, two children"
39602,14,22,1,55000,67,1,1,1,2,Bachelors,F,22,67,55000,Married,White,4489,2,"Married, No Kids"
108044,14,17,1,59000,33,1,1,1,4,Bachelors,F,17,33,59000,Married,White,1089,4,"Married, three children"
46786,14,21,1,52000,39,1,1,1,5,Bachelors,F,21,39,52000,Married,White,1521,5,"Married, > three children"
82993,9,38,1,48000,70,1,0,1,3,Less than HS,F,38,70,48000,Married,White,4900,3,"Married, two children"
43457,10,49,1,68000,43,1,1,1,3,Less than HS,F,49,43,68000,Married,White,1849,3,"Married, two children"
134596,10,28,1,50000,26,1,1,1,4,Less than HS,F,28,26,50000,Married,White,676,4,"Married, three children"
65279,14,5,1,60000,45,1,1,4,3,Bachelors,F,5,45,60000,Married,Asian,2025,3,"Married, two children"
3597,13,40,1,36400,57,1,1,1,3,Some College/Associates,F,40,57,36400,Married,White,3249,3,"Married, two children"
153397,10,40,1,90000,60,3,1,1,1,Less than HS,F,40,60,90000,Divorced,White,3600,1,Single
128114,14,21,1,56000,42,1,1,3,4,Bachelors,F,21,42,56000,Married,Hispanic,1764,4,"Married, three children"
162349,11,39,0,105000,54,1,1,1,3,Less than HS,M,39,54,105000,Married,White,2916,3,"Married, two children"
17058,11,30,0,52000,48,1,1,1,4,Less than HS,M,30,48,52000,Married,White,2304,4,"Married, three children"
85067,10,40,0,40000,36,5,1,1,1,Less than HS,M,40,36,40000,Never Married,White,1296,1,Single
150345,9,30,1,110000,51,5,1,2,3,Less than HS,F,30,51,110000,Never Married,Black,2601,3,"Single, two children"
68065,15,19,0,45000,33,1,1,1,3,Masters,M,19,33,45000,Married,White,1089,3,"Married, two children"
72713,12,27,1,50000,45,1,1,1,4,HS Graduate,F,27,45,50000,Married,White,2025,4,"Married, three children"
86439,13,23,0,90000,55,1,1,1,4,Some College/Associates,M,23,55,90000,Married,White,3025,4,"Married, three children"
50710,10,51,0,52000,57,1,1,1,3,Less than HS,M,51,57,52000,Married,White,3249,3,"Married, two children"
13608,9,32,0,40000,35,5,1,2,3,Less than HS,M,32,35,40000,Never Married,Black,1225,3,"Single, two children"
150781,9,9,0,81000,37,1,1,3,4,Less than HS,M,9,37,81000,Married,Hispanic,1369,4,"Married, three children"
132663,10,27,1,36000,35,1,1,1,2,Less than HS,F,27,35,36000,Married,White,1225,2,"Married, No Kids"
1979,16,12,0,75000,32,1,1,4,2,PhD/MD/JD,M,12,32,75000,Married,Asian,1024,2,"Married, No Kids"
155607,13,8,0,172000,39,1,1,1,4,Some College/Associates,M,8,39,172000,Married,White,1521,4,"Married, three children"
92622,9,1,0,48000,45,1,1,3,4,Less than HS,M,1,45,48000,Married,Hispanic,2025,4,"Married, three children"
163569,11,8,0,69000,33,5,1,4,4,Less than HS,M,8,33,69000,Never Married,Asian,1089,4,"Single, three children"
3008,13,12,0,125000,60,3,1,3,1,Some College/Associates,M,12,60,125000,Divorced,Hispanic,3600,1,Single
8143,13,3,1,25000,35,5,1,2,2,Some College/Associates,F,3,35,25000,Never Married,Black,1225,2,"Single, one child"
148121,9,1,0,145000,45,3,1,1,4,Less than HS,M,1,45,145000,Divorced,White,2025,4,"Single, three children"
148092,9,40,1,42900,51,1,1,1,4,Less than HS,F,40,51,42900,Married,White,2601,4,"Married, three children"
24534,9,40,1,36400,19,5,1,3,5,Less than HS,F,40,19,36400,Never Married,Hispanic,361,5,"Single, > three children"
133428,9,49,0,72000,37,1,1,1,2,Less than HS,M,49,37,72000,Married,White,1369,2,"Married, No Kids"
43134,14,12,0,99980,46,1,1,1,6,Bachelors,M,12,46,99980,Married,White,2116,6,"Married, > three children"
103109,10,40,1,34000,26,5,1,2,1,Less than HS,F,40,26,34000,Never Married,Black,676,1,Single
145847,10,40,1,42000,66,3,1,1,1,Less than HS,F,40,66,42000,Divorced,White,4356,1,Single
95562,9,32,1,54000,29,5,1,1,4,Less than HS,F,32,29,54000,Never Married,White,841,4,"Single, three children"
31225,16,20,1,75000,45,1,1,1,3,PhD/MD/JD,F,20,45,75000,Married,White,2025,3,"Married, two children"
176267,9,51,0,25000,29,5,1,1,3,Less than HS,M,51,29,25000,Never Married,White,841,3,"Single, two children"
134809,13,47,0,25000,53,5,0,2,1,Some College/Associates,M,47,53,25000,Never Married,Black,2809,1,Single
155635,10,39,1,60000,58,1,1,1,4,Less than HS,F,39,58,60000,Married,White,3364,4,"Married, three children"
121879,9,40,0,13000,23,5,1,1,1,Less than HS,M,40,23,13000,Never Married,White,529,1,Single
22718,13,40,1,50000,51,3,1,1,1,Some College/Associates,F,40,51,50000,Divorced,White,2601,1,Single
13343,13,45,0,76000,58,1,1,3,5,Some College/Associates,M,45,58,76000,Married,Hispanic,3364,5,"Married, > three children"
166797,13,3,0,180000,55,1,1,4,4,Some College/Associates,M,3,55,180000,Married,Asian,3025,4,"Married, three children"
67143,11,3,1,109000,38,5,1,2,1,Less than HS,F,3,38,109000,Never Married,Black,1444,1,Single
152566,9,49,0,63000,32,5,1,4,3,Less than HS,M,49,32,63000,Never Married,Asian,1024,3,"Single, two children"
15444,10,27,1,35000,44,4,1,1,4,Less than HS,F,27,44,35000,Separated,White,1936,4,"Single, three children"
114765,13,52,0,85001,27,1,NA,1,2,Some College/Associates,M,52,27,85001,Married,White,729,2,"Married, No Kids"
112483,10,48,0,32000,60,3,1,1,4,Less than HS,M,48,60,32000,Divorced,White,3600,4,"Single, three children"
33547,10,49,0,50000,67,1,1,1,2,Less than HS,M,49,67,50000,Married,White,4489,2,"Married, No Kids"
82204,10,5,1,28002,41,1,1,1,3,Less than HS,F,5,41,28002,Married,White,1681,3,"Married, two children"
49428,13,38,0,80000,36,5,1,1,1,Some College/Associates,M,38,36,80000,Never Married,White,1296,1,Single
166433,13,25,1,180000,49,1,0,1,4,Some College/Associates,F,25,49,180000,Married,White,2401,4,"Married, three children"
101474,10,49,0,38000,27,5,1,2,1,Less than HS,M,49,27,38000,Never Married,Black,729,1,Single
2958,10,40,1,30000,64,3,1,1,1,Less than HS,F,40,64,30000,Divorced,White,4096,1,Single
118359,13,8,0,109000,39,5,1,1,1,Some College/Associates,M,8,39,109000,Never Married,White,1521,1,Single
162166,13,25,0,115000,44,1,1,4,4,Some College/Associates,M,25,44,115000,Married,Asian,1936,4,"Married, three children"
109586,9,40,0,200000,51,3,1,1,3,Less than HS,M,40,51,200000,Divorced,White,2601,3,"Single, two children"
144203,14,8,0,116000,36,1,1,1,3,Bachelors,M,8,36,116000,Married,White,1296,3,"Married, two children"
54365,9,2,0,28500,63,1,1,1,2,Less than HS,M,2,63,28500,Married,White,3969,2,"Married, No Kids"
164956,12,12,0,134000,47,1,1,3,6,HS Graduate,M,12,47,134000,Married,Hispanic,2209,6,"Married, > three children"
80886,14,23,0,42000,42,1,1,1,4,Bachelors,M,23,42,42000,Married,White,1764,4,"Married, three children"
39759,10,1,0,135000,44,1,1,1,3,Less than HS,M,1,44,135000,Married,White,1936,3,"Married, two children"
66650,9,40,1,33280,30,5,1,2,1,Less than HS,F,40,30,33280,Never Married,Black,900,1,Single
11388,13,25,1,76002,46,3,1,1,1,Some College/Associates,F,25,46,76002,Divorced,White,2116,1,Single
93487,12,28,1,32000,54,1,1,2,3,HS Graduate,F,28,54,32000,Married,Black,2916,3,"Married, two children"
152052,11,43,0,20000,21,5,0,1,2,Less than HS,M,43,21,20000,Never Married,White,441,2,"Single, one child"
32292,13,6,1,60000,37,1,1,1,4,Some College/Associates,F,6,37,60000,Married,White,1369,4,"Married, three children"
9076,10,3,1,40000,43,1,1,1,3,Less than HS,F,3,43,40000,Married,White,1849,3,"Married, two children"
120733,10,21,1,23000,61,1,1,3,2,Less than HS,F,21,61,23000,Married,Hispanic,3721,2,"Married, No Kids"
9023,9,51,0,42000,47,3,1,1,1,Less than HS,M,51,47,42000,Divorced,White,2209,1,Single
78990,13,40,1,45000,63,2,1,1,1,Some College/Associates,F,40,63,45000,Widowed,White,3969,1,Single
156731,3,49,0,24000,52,1,1,3,2,Less than HS,M,49,52,24000,Married,Hispanic,2704,2,"Married, No Kids"
113903,13,2,0,90000,51,1,1,1,4,Some College/Associates,M,2,51,90000,Married,White,2601,4,"Married, three children"
135203,13,3,0,70000,45,5,1,1,2,Some College/Associates,M,3,45,70000,Never Married,White,2025,2,"Single, one child"
96497,13,6,0,68000,53,1,1,1,4,Some College/Associates,M,6,53,68000,Married,White,2809,4,"Married, three children"
125775,13,25,0,90000,36,1,1,4,6,Some College/Associates,M,25,36,90000,Married,Asian,1296,6,"Married, > three children"
149212,13,51,0,55000,46,1,1,1,4,Some College/Associates,M,51,46,55000,Married,White,2116,4,"Married, three children"
98957,11,25,1,35000,33,1,1,1,5,Less than HS,F,25,33,35000,Married,White,1089,5,"Married, > three children"
46891,13,3,0,56928,29,5,1,1,1,Some College/Associates,M,3,29,56928,Never Married,White,841,1,Single
61778,13,40,1,30000,64,1,1,1,2,Some College/Associates,F,40,64,30000,Married,White,4096,2,"Married, No Kids"
83234,9,48,0,35050,44,5,1,2,2,Less than HS,M,48,44,35050,Never Married,Black,1936,2,"Single, one child"
128726,9,42,0,65000,42,1,1,1,3,Less than HS,M,42,42,65000,Married,White,1764,3,"Married, two children"
130013,10,41,0,59200,44,3,1,1,1,Less than HS,M,41,44,59200,Divorced,White,1936,1,Single
46317,9,1,0,160000,44,1,1,1,4,Less than HS,M,1,44,160000,Married,White,1936,4,"Married, three children"
16401,11,51,0,26000,44,1,1,1,3,Less than HS,M,51,44,26000,Married,White,1936,3,"Married, two children"
35163,13,12,0,200000,33,1,1,1,4,Some College/Associates,M,12,33,200000,Married,White,1089,4,"Married, three children"
105365,11,36,0,50000,60,3,1,1,1,Less than HS,M,36,60,50000,Divorced,White,3600,1,Single
160581,9,49,0,70000,24,5,1,3,2,Less than HS,M,49,24,70000,Never Married,Hispanic,576,2,"Single, one child"
139189,9,19,1,82000,55,1,1,3,3,Less than HS,F,19,55,82000,Married,Hispanic,3025,3,"Married, two children"
60278,13,1,0,200000,38,1,1,1,5,Some College/Associates,M,1,38,200000,Married,White,1444,5,"Married, > three children"
127648,9,46,0,65000,40,1,1,3,3,Less than HS,M,46,40,65000,Married,Hispanic,1600,3,"Married, two children"
169821,12,40,1,30000,45,1,1,3,3,HS Graduate,F,40,45,30000,Married,Hispanic,2025,3,"Married, two children"
59774,5,44,0,42000,38,1,1,3,5,Less than HS,M,44,38,42000,Married,Hispanic,1444,5,"Married, > three children"
44239,9,40,1,53000,46,1,1,1,3,Less than HS,F,40,46,53000,Married,White,2116,3,"Married, two children"
48313,10,33,1,30000,22,5,1,1,1,Less than HS,F,33,22,30000,Never Married,White,484,1,Single
6278,13,25,1,42000,31,1,1,1,5,Some College/Associates,F,25,31,42000,Married,White,961,5,"Married, > three children"
103787,16,16,0,100000,58,1,1,1,4,PhD/MD/JD,M,16,58,100000,Married,White,3364,4,"Married, three children"
46307,14,25,1,60000,38,1,1,1,3,Bachelors,F,25,38,60000,Married,White,1444,3,"Married, two children"
58411,14,8,0,85000,37,1,1,4,4,Bachelors,M,8,37,85000,Married,Asian,1369,4,"Married, three children"
23777,10,49,0,40000,28,1,1,1,4,Less than HS,M,49,28,40000,Married,White,784,4,"Married, three children"
124709,13,25,1,120000,41,5,1,4,8,Some College/Associates,F,25,41,120000,Never Married,Asian,1681,8,"Single, > three children"
14872,13,19,1,90000,26,5,1,1,7,Some College/Associates,F,19,26,90000,Never Married,White,676,7,"Single, > three children"
125301,10,2,0,70000,56,5,1,3,1,Less than HS,M,2,56,70000,Never Married,Hispanic,3136,1,Single
27194,13,39,0,110000,59,1,1,1,2,Some College/Associates,M,39,59,110000,Married,White,3481,2,"Married, No Kids"
89977,9,51,0,40000,42,1,1,4,3,Less than HS,M,51,42,40000,Married,Asian,1764,3,"Married, two children"
167725,13,1,1,68000,35,1,1,2,2,Some College/Associates,F,1,35,68000,Married,Black,1225,2,"Married, No Kids"
121602,12,40,1,44560,50,3,1,1,5,HS Graduate,F,40,50,44560,Divorced,White,2500,5,"Single, > three children"
168579,13,40,1,80000,49,1,1,1,3,Some College/Associates,F,40,49,80000,Married,White,2401,3,"Married, two children"
6268,10,27,0,45000,34,1,1,4,4,Less than HS,M,27,34,45000,Married,Asian,1156,4,"Married, three children"
61095,14,21,1,60000,30,1,1,1,3,Bachelors,F,21,30,60000,Married,White,900,3,"Married, two children"
64301,9,37,1,35000,62,1,0,2,2,Less than HS,F,37,62,35000,Married,Black,3844,2,"Married, No Kids"
160285,10,49,1,57000,61,1,1,4,2,Less than HS,F,49,61,57000,Married,Asian,3721,2,"Married, No Kids"
150108,11,21,0,35000,40,1,NA,1,2,Less than HS,M,21,40,35000,Married,White,1600,2,"Married, No Kids"
